,Institution,Control,State,Category,Institution_stripped,Id,County,Longitude,Latitude,Total  enrollment,Urbanization,Carnegie Classifation,out-of-state,foreign,Endowment
189,Heidelberg University,Private,OH,In-person,heidelberguniversity,203085,Seneca County,-83.16658100000002,41.114337,1241.0,Town,Master's,14.0,0.0,27948.0
190,Hendrix College,Private,AR,In-person,hendrixcollege,107080,Faulkner County,-92.442021,35.09972,1444.0,City,Baccalaureatte,,,118930.0
191,High Point University,Private,NC,In-person,highpointuniversity,198695,Guilford County,-79.994545,35.972674,4199.0,City,Baccalaureatte,,,10066.0
192,Hilbert College,Private,NY,In-person,hilbertcollege,191621,Erie County,-78.82029,42.75505,1070.0,Suburb,Baccalaureatte,6.0,1.0,5887.0
193,Hiram College,Private,OH,In-person,hiramcollege,203128,Portage County,-81.141552,41.310998,1311.0,Town,Baccalaureatte,,,49493.0
194,Hodges University,Private,FL,In-person,hodgesuniversity,367884,Collier County,-81.741241,26.277222,2078.0,Suburb,Master's,,,2060.0
195,Hofstra University,Private,NY,Considering options,hofstrauniversity,191649,Nassau County,-73.60078,40.71595900000001,10928.0,Suburb,Research,43.0,4.0,34752.0
196,Hofstra University,Private,NY,In-person,hofstrauniversity,191649,Nassau County,-73.60078,40.71595900000001,10928.0,Suburb,Research,43.0,4.0,34752.0
197,Hollins University,Private,VA,In-person,hollinsuniversity,232308,Roanoke County,-79.942196,37.354629,750.0,Suburb,Baccalaureatte,,,174079.0
198,Holy Cross College,Private,IN,In-person,holycrosscollege,150774,St. Joseph County,-86.253668,41.699982,524.0,Suburb,Baccalaureatte,,,1504.0
199,Hood College,Private,MD,Undecided,hoodcollege,162760,Frederick County,-77.419282,39.421908,2392.0,City,Master's,33.0,3.0,39225.0
200,Hope College,Private,MI,In-person,hopecollege,170301,Ottawa County,-86.105376,42.788052,3388.0,City,Baccalaureatte,32.0,2.0,46375.0
201,Hope International University,Private,CA,In-person,hopeinternationaluniversity,120537,Orange County,-117.88573,33.87616,1356.0,Suburb,Baccalaureatte,,,4625.0
202,Howard University,Private,DC,In-person,howarduniversity,131520,District of Columbia,-77.019478,38.92073900000001,10297.0,City,Research,94.0,5.0,55408.0
203,Huntingdon College,Private,AL,In-person,huntingdoncollege,101435,Montgomery County,-86.285313,32.350939000000004,1110.0,City,Baccalaureatte,27.0,0.0,41486.0
204,Husson University,Private,ME,In-person,hussonuniversity,161165,Penobscot County,-68.79132299999999,44.828888,3049.0,City,Master's,,,3673.0
205,Illinois College,Private,IL,In-person,illinoiscollege,145691,Morgan County,-90.246256,39.73082700000001,1028.0,Town,Baccalaureatte,16.0,3.0,135452.0
206,Illinois Institute of Technology,Private,IL,In-person,illinoisinstituteoftechnology,145725,Cook County,-87.628346,41.833801,7850.0,City,Research,,,28531.0
207,Illinois State University,Public,IL,In-person,illinoisstateuniversity,145813,McLean County,-88.99234,40.509724,20272.0,Suburb,Research,1.0,0.0,
208,Immaculata University,Private,PA,In-person,immaculatauniversity,213011,Chester County,-75.57063000000002,40.027963,3675.0,Suburb,Research,,,4218.0
209,Indiana State University,Public,IN,In-person,indianastateuniversity,151324,Vigo County,-87.407085,39.46873,12448.0,City,Research,14.0,4.0,
210,Iona College,Private,NY,Hybrid model,ionacollege,191931,Westchester County,-73.785635,40.927107,4241.0,Suburb,Master's,25.0,1.0,18893.0
211,Iowa State University,Public,IA,Hybrid model,iowastateuniversity,153603,Story County,-93.648353,42.026368,32955.0,City,Research,36.0,6.0,
212,Ithaca College,Private,NY,In-person,ithacacollege,191968,Tompkins County,-76.49505699999997,42.42264,6723.0,Suburb,Master's,,,34570.0
213,Jacksonville State University,Public,AL,In-person,jacksonvillestateuniversity,101480,Calhoun County,-85.766644,33.822128,8693.0,City,Master's,24.0,1.0,
214,Jacksonville University,Private,FL,Considering options,jacksonvilleuniversity,134945,Duval County,-81.60706,30.350349,4157.0,City,Master's,,,11979.0
215,James Madison University,Public,VA,In-person,jamesmadisonuniversity,232423,Harrisonburg city,-78.871663,38.435332,20181.0,City,Master's,,,
216,John Brown University,Private,AR,Hybrid model,johnbrownuniversity,107141,Benton County,-94.559088,36.191077,2596.0,Town,Baccalaureatte,,,38304.0
217,John Carroll University,Private,OH,Hybrid model,johncarrolluniversity,203368,Cuyahoga County,-81.533103,41.488978,3711.0,Suburb,Master's,32.0,1.0,51044.0
218,Johns Hopkins University,Private,MD,Considering options,johnshopkinsuniversity,162928,Baltimore city,-76.620799,39.32838,20918.0,City,Research,,,138661.0
219,Judson University,Private,IL,In-person,judsonuniversity,146339,Kane County,-88.28970799999998,42.05896,1170.0,City,Baccalaureatte,,,11061.0
220,Juniata College,Private,PA,In-person,juniatacollege,213251,Huntingdon County,-78.015204,40.499511,1635.0,Town,Baccalaureatte,32.0,8.0,60069.0
221,Kalamazoo College,Private,MI,Undecided,kalamazoocollege,170532,Kalamazoo County,-85.60131700000002,42.290382,1458.0,City,Baccalaureatte,,,132984.0
222,Kansas State University,Public,KS,In-person,kansasstateuniversity,155399,Riley County,-96.581077,39.188616,24581.0,City,Research,18.0,3.0,
223,Kean University,Public,NJ,Undecided,keanuniversity,185262,Union County,-74.234668,40.679429,14404.0,Suburb,Master's,4.0,1.0,
224,Kenyon College,Private,OH,In-person,kenyoncollege,203535,Knox County,-82.397977,40.374408,1705.0,Town,Baccalaureatte,,,106676.0
225,Keuka College,Private,NY,In-person,keukacollege,192192,Yates County,-77.090518,42.61541,2036.0,Town,Master's,,,6276.0
226,King's College,Private,PA,In-person,king'scollege,213321,Luzerne County,-75.878603,41.248118,2391.0,City,Master's,30.0,0.0,25137.0
227,Knox College,Private,IL,In-person,knoxcollege,146427,Knox County,-90.370316,40.941829,1424.0,Town,Baccalaureatte,37.0,11.0,70137.0
228,La Salle University,Private,PA,In-person,lasalleuniversity,213367,Philadelphia County,-75.152996,40.03850300000001,6436.0,City,Master's,40.0,2.0,14979.0
229,Lafayette College,Private,PA,Undecided,lafayettecollege,213385,Northampton County,-75.209058,40.700512,2486.0,Suburb,Baccalaureatte,75.0,11.0,292362.0
230,LaGrange College,Private,GA,In-person,lagrangecollege,140234,Troup County,-85.041394,33.039713,940.0,Town,Baccalaureatte,28.0,1.0,55914.0
231,Lake Superior State University,Public,MI,In-person,lakesuperiorstateuniversity,170639,Chippewa County,-84.3655,46.491736,2435.0,Town,Baccalaureatte,,,
232,Lander University,Public,SC,In-person,landeruniversity,218229,Greenwood County,-82.166351,34.201143,2877.0,Town,Baccalaureatte,6.0,2.0,
233,Lawrence Technological University,Private,MI,Undecided,lawrencetechnologicaluniversity,170675,Oakland County,-83.25003000000002,42.474072,4002.0,City,Master's,,,11860.0
234,Lawrence University,Private,WI,Considering options,lawrenceuniversity,239017,Outagamie County,-88.39782199999998,44.261323,1553.0,City,Baccalaureatte,64.0,13.0,135566.0
235,Lee University,Private,TN,In-person,leeuniversity,220613,Bradley County,-84.870018,35.166166,4922.0,City,Master's,,,3331.0
236,Lehigh University,Private,PA,In-person,lehighuniversity,213543,Northampton County,-75.378887,40.607158,7096.0,City,Research,,,168081.0
237,LeTourneau University,Private,TX,In-person,letourneauuniversity,226231,Gregg County,-94.72726,32.467658,2729.0,City,Master's,,,5901.0
238,Lewis University,Private,IL,In-person,lewisuniversity,146612,Will County,-88.079032,41.605432,6525.0,Suburb,Master's,7.0,1.0,8364.0
239,Lewis-Clark State College,Public,ID,In-person,lewis-clarkstatecollege,142328,Nez Perce County,-117.026371,46.410034,4304.0,City,Baccalaureatte,21.0,3.0,
240,Liberty University,Private,VA,In-person,libertyuniversity,232557,Lynchburg city,-79.179688,37.350345,77338.0,City,Master's,,,1646.0
241,Limestone College,Private,SC,In-person,limestonecollege,218238,Cherokee County,-81.648033,35.052919,3307.0,Town,Baccalaureatte,27.0,0.0,5102.0
242,Lindenwood University,Private,MO,In-person,lindenwooduniversity,177968,St. Charles County,-90.502825,38.788203,12213.0,City,Master's,35.0,12.0,10988.0
243,Longwood University,Public,VA,In-person,longwooduniversity,232566,Prince Edward County,-78.39578900000002,37.301073,4960.0,Town,Master's,3.0,1.0,
244,Loras College,Private,IA,In-person,lorascollege,153825,Dubuque County,-90.680232,42.504131,1621.0,City,Baccalaureatte,68.0,1.0,15625.0
245,Louisiana College,Private,LA,In-person,louisianacollege,159568,Rapides Parish,-92.425567,31.322286,1400.0,Suburb,Baccalaureatte,,,23979.0
246,Loyola Marymount University,Private,CA,In-person,loyolamarymountuniversity,117946,Los Angeles County,-118.415655,33.970633,9661.0,City,Master's,,,48767.0
247,Loyola University Chicago,Private,IL,Considering options,loyolauniversitychicago,146719,Cook County,-87.657399,41.999161,15957.0,City,Research,38.0,3.0,31599.0
248,Loyola University Maryland,Private,MD,In-person,loyolauniversitymaryland,163046,Baltimore city,-76.623417,39.346044,5977.0,City,Master's,,,33559.0
249,Loyola University New Orleans,Private,LA,Hybrid model,loyolauniversityneworleans,159656,Orleans Parish,-90.120417,29.936141,4686.0,City,Master's,,,59950.0
250,Lubbock Christian University,Private,TX,In-person,lubbockchristianuniversity,226383,Lubbock County,-101.934816,33.576273,2002.0,City,Master's,10.0,0.0,7821.0
251,Luther College,Private,IA,In-person,luthercollege,153834,Winneshiek County,-91.803971,43.31358400000001,2466.0,Town,Baccalaureatte,65.0,6.0,48610.0
252,Lycoming College,Private,PA,In-person,lycomingcollege,213668,Lycoming County,-77.0003,41.246127,1307.0,City,Baccalaureatte,34.0,5.0,118787.0
253,Lynn University,Private,FL,In-person,lynnuniversity,132657,Palm Beach County,-80.123851,26.382777,2297.0,City,Research,46.0,25.0,10304.0
254,Lyon College,Private,AR,In-person,lyoncollege,106342,Independence County,-91.628115,35.778934,592.0,Town,Baccalaureatte,,,79323.0
255,Macalester College,Private,MN,In-person,macalestercollege,173902,Ramsey County,-93.169855,44.936709,2039.0,City,Baccalaureatte,,,340683.0
256,Manhattan College,Private,NY,In-person,manhattancollege,192703,Bronx County,-73.901893,40.889756,3883.0,City,Master's,,,18273.0
257,Manhattanville College,Private,NY,In-person,manhattanvillecollege,192749,Westchester County,-73.718316,41.031054,2750.0,Suburb,Master's,,,4845.0
258,Marietta College,Private,OH,In-person,mariettacollege,203845,Washington County,-81.450038,39.417638,1542.0,Town,Baccalaureatte,39.0,7.0,40982.0
259,Marquette University,Private,WI,In-person,marquetteuniversity,239105,Milwaukee County,-87.92812099999998,43.038766,11782.0,City,Research,66.0,4.0,41607.0
260,Marshall University,Public,WV,In-person,marshalluniversity,237525,Cabell County,-82.43065,38.42261,13407.0,City,Master's,22.0,1.0,
261,Marymount Manhattan College,Private,NY,In-person,marymountmanhattancollege,192864,New York County,-73.959676,40.769108,1833.0,City,Baccalaureatte,,,9214.0
262,Marymount University,Private,VA,Hybrid model,marymountuniversity,232706,Arlington County,-77.128799,38.905552,3486.0,City,Master's,,,9700.0
263,Maryville College,Private,TN,In-person,maryvillecollege,220710,Blount County,-83.963853,35.751969,1168.0,Suburb,Baccalaureatte,,,54942.0
264,Massachusetts Institute of Technology,Private,MA,Undecided,massachusettsinstituteoftechnology,166683,Middlesex County,-71.092115,42.360095,11301.0,City,Research,83.0,10.0,980404.0
265,McDaniel College,Private,MD,Undecided,mcdanielcollege,164270,Carroll County,-77.001662,39.584879,3229.0,Suburb,Baccalaureatte,,,39288.0
266,McMurry University,Private,TX,In-person,mcmurryuniversity,226587,Taylor County,-99.750277,32.429551000000004,1216.0,City,Baccalaureatte,7.0,1.0,57169.0
267,Menlo College,Private,CA,In-person,menlocollege,118693,San Mateo County,-122.181444,37.452906,745.0,Suburb,Baccalaureatte,,,38268.0
268,Mercer University,Private,GA,Considering options,merceruniversity,140447,Bibb County,-83.651042,32.829731,8351.0,City,Master's,,,24270.0
269,Mercyhurst University,Private,PA,In-person,mercyhurstuniversity,213987,Erie County,-80.05556800000002,42.103991,3011.0,City,Master's,49.0,9.0,9306.0
270,Merrimack College,Private,MA,In-person,merrimackcollege,166850,Essex County,-71.124216,42.668352,3067.0,Suburb,Baccalaureatte,,,14432.0
271,Messiah College,Private,PA,In-person,messiahcollege,213996,Cumberland County,-76.98849200000002,40.15867,3084.0,Suburb,Baccalaureatte,39.0,3.0,40027.0
272,Metropolitan State University,Public,CO,Hybrid model,metropolitanstateuniversity,174020,Ramsey County,-93.074153,44.957017,8510.0,City,Master's,,,
273,Michigan State University,Public,MI,In-person,michiganstateuniversity,171100,Ingham County,-84.473639,42.72476,49317.0,City,Research,11.0,17.0,
274,Michigan Technological University,Public,MI,In-person,michigantechnologicaluniversity,171128,Houghton County,-88.546403,47.1183,6975.0,Town,Research,,,
275,Mid-America Christian University,Private,OK,In-person,mid-americachristianuniversity,245953,Cleveland County,-97.578297,35.34778499999999,2942.0,City,Baccalaureatte,,,905.0
276,Mid-Atlantic Christian University,Private,NC,In-person,mid-atlanticchristianuniversity,199458,Pasquotank County,-76.217496,36.30376500000001,162.0,Town,Baccalaureatte,,,16582.0
277,Middle Tennessee State University,Public,TN,In-person,middletennesseestateuniversity,220978,Rutherford County,-86.362094,35.849139,23881.0,City,Research,,,
278,Middlebury College,Private,VT,Undecided,middleburycollege,230959,Addison County,-73.176068,44.009117,2495.0,Town,Baccalaureatte,,,289779.0
279,Midwestern State University,Public,TX,In-person,midwesternstateuniversity,226833,Wichita County,-98.51774,33.877143,5870.0,City,Master's,3.0,4.0,
280,Millikin University,Private,IL,In-person,millikinuniversity,147244,Macon County,-88.974571,39.842604,2261.0,City,Baccalaureatte,17.0,1.0,47043.0
281,Millsaps College,Private,MS,In-person,millsapscollege,175980,Hinds County,-90.178084,32.3231,804.0,City,Baccalaureatte,,,112710.0
282,Milwaukee School of Engineering,Private,WI,In-person,milwaukeeschoolofengineering,239318,Milwaukee County,-87.907691,43.045364,2658.0,City,Master's,32.0,9.0,20755.0
283,Mississippi College,Private,MS,In-person,mississippicollege,176053,Hinds County,-90.330452,32.334565000000005,4921.0,Suburb,Master's,44.0,2.0,14482.0
284,Missouri Southern State University,Public,MO,In-person,missourisouthernstateuniversity,178341,Jasper County,-94.460893,37.095722,5616.0,City,Baccalaureatte,16.0,1.0,
285,Missouri University of Science and Technology,Public,MO,In-person,missouriuniversityofscienceandtechnology,178411,Phelps County,-91.7759,37.95585300000001,8129.0,Town,Research,18.0,2.0,
286,Missouri Western State University,Public,MO,In-person,missouriwesternstateuniversity,178387,Buchanan County,-94.785643,39.7575,5795.0,City,Baccalaureatte,8.0,1.0,
287,Montana State University,Public,MT,In-person,montanastateuniversity,180461,Gallatin County,-111.049918,45.666829,14852.0,Town,Research,,,
288,Montclair State University,Public,NJ,Considering options,montclairstateuniversity,185590,Essex County,-74.199455,40.859233,19464.0,Suburb,Master's,3.0,0.0,
289,Moravian College,Private,PA,In-person,moraviancollege,214157,Northampton County,-75.38097900000002,40.630888,1837.0,City,Baccalaureatte,44.0,0.0,55153.0
290,Morehead State University,Public,KY,In-person,moreheadstateuniversity,157386,Rowan County,-83.429742,38.188462,11358.0,Town,Master's,14.0,0.0,
291,Morgan State University,Public,MD,Considering options,morganstateuniversity,163453,Baltimore city,-76.584238,39.344235,7546.0,City,Research,,,
292,Morningside College,Private,IA,In-person,morningsidecollege,154004,Woodbury County,-96.360738,42.47324,2542.0,City,Baccalaureatte,41.0,0.0,24937.0
293,Murray State University,Public,KY,In-person,murraystateuniversity,157401,Calloway County,-88.323493,36.61241,10943.0,Town,Master's,36.0,4.0,
294,Nazareth College,Private,NY,In-person,nazarethcollege,193584,Monroe County,-77.51441700000002,43.102406,2823.0,Suburb,Master's,7.0,1.0,21791.0
295,Nebraska Wesleyan University,Private,NE,In-person,nebraskawesleyanuniversity,181446,Lancaster County,-96.648414,40.838789,2149.0,City,Baccalaureatte,18.0,1.0,24545.0
296,New College of Florida,Public,FL,Considering options,newcollegeofflorida,262129,Sarasota County,-82.55858,27.384925,793.0,City,Baccalaureatte,19.0,1.0,
297,New England College,Private,NH,In-person,newenglandcollege,182980,Merrimack County,-71.822928,43.177005,2224.0,Rural,Master's,,,5433.0
298,New Jersey Institute of Technology,Public,NJ,In-person,newjerseyinstituteoftechnology,185828,Essex County,-74.177113,40.741997,10130.0,City,Research,4.0,2.0,
299,New York Institute of Technology,Private,NY,Considering options,newyorkinstituteoftechnology,194091,Nassau County,-73.608885,40.814402,7545.0,Suburb,Master's,,,15730.0
300,New York University,Private,NY,Hybrid model,newyorkuniversity,193900,New York County,-73.997264,40.729452,44599.0,City,Research,61.0,15.0,66851.0
301,Newberry College,Private,SC,In-person,newberrycollege,218414,Newberry County,-81.601966,34.286201,1039.0,Town,Baccalaureatte,27.0,3.0,20081.0
302,North Carolina A&T State University,Public,NC,In-person,northcarolinaa&tstateuniversity,199102,Guilford County,-79.770152,36.076737,10561.0,City,Research,19.0,1.0,
303,North Carolina Central University,Public,NC,In-person,northcarolinacentraluniversity,199157,Durham County,-78.898602,35.974237,8093.0,City,Master's,11.0,0.0,
304,North Central College,Private,IL,Considering options,northcentralcollege,147660,DuPage County,-88.143649,41.775304,3048.0,City,Master's,11.0,2.0,33860.0
305,North Park University,Private,IL,In-person,northparkuniversity,147679,Cook County,-87.709142,41.9751,3136.0,City,Master's,33.0,3.0,26877.0
306,Northeastern University,Private,MA,In-person,northeasternuniversity,167358,Suffolk County,-71.088782,42.339992,20053.0,City,Research,,,23979.0
307,Northern Arizona University,Public,AZ,In-person,northernarizonauniversity,105330,Coconino County,-111.657653,35.180095,26594.0,City,Research,39.0,1.0,
308,Northern Illinois University,Public,IL,Undecided,northernillinoisuniversity,147703,DeKalb County,-88.766065,41.933791,21138.0,Suburb,Research,5.0,1.0,
309,Northern Illinois University,Public,IL,Hybrid model,northernillinoisuniversity,147703,DeKalb County,-88.766065,41.933791,21138.0,Suburb,Research,5.0,1.0,
310,Northern Michigan University,Public,MI,In-person,northernmichiganuniversity,171456,Marquette County,-87.40385699999999,46.558037,8918.0,Town,Master's,22.0,1.0,
311,Northwest Missouri State University,Public,MO,In-person,northwestmissouristateuniversity,178624,Nodaway County,-94.884341,40.352706,6485.0,Town,Master's,28.0,0.0,
312,Northwest Nazarene University,Private,ID,In-person,northwestnazareneuniversity,142461,Canyon County,-116.564792,43.563181,2246.0,Suburb,Master's,46.0,2.0,12430.0
313,Northwestern College,Private,IA,In-person,northwesterncollege,154101,Sioux County,-96.058382,42.998955,1233.0,Town,Baccalaureatte,,,35950.0
314,Northwestern University,Private,IL,Hybrid model,northwesternuniversity,147767,Cook County,-87.673653,42.058377,21592.0,City,Research,,,330031.0
315,Norwich University,Private,VT,In-person,norwichuniversity,230995,Washington County,-72.660129,44.139402,3417.0,Town,Master's,,,43490.0
316,Notre Dame of Maryland University,Private,MD,In-person,notredameofmarylanduniversity,163578,Baltimore city,-76.619701,39.351307,2877.0,City,Master's,,,17107.0
317,Nova Southeastern University,Private,FL,In-person,novasoutheasternuniversity,136215,Broward County,-80.24248,26.079337,25670.0,Suburb,Research,,,2645.0
318,Oakland City University,Private,IN,In-person,oaklandcityuniversity,152099,Gibson County,-87.351611,38.339606,2418.0,Town,Master's,,,3256.0
319,Oakland University,Public,MI,Hybrid model,oaklanduniversity,171571,Oakland County,-83.218866,42.672586,20169.0,Suburb,Research,2.0,2.0,
320,Oberlin College,Private,OH,In-person,oberlincollege,204501,Lorain County,-82.221786,41.29474,2911.0,Town,Baccalaureatte,,,261456.0
321,Ohio Dominican University,Private,OH,In-person,ohiodominicanuniversity,204617,Franklin County,-82.940499,39.99265,2573.0,City,Master's,6.0,3.0,11865.0
322,Ohio Northern University,Private,OH,In-person,ohionorthernuniversity,204635,Hardin County,-83.830729,40.766144,3619.0,Town,Baccalaureatte,,,44521.0
323,Ohio Wesleyan University,Private,OH,In-person,ohiowesleyanuniversity,204909,Delaware County,-83.06791199999998,40.296912,1830.0,Suburb,Baccalaureatte,,,102736.0
324,Oklahoma Panhandle State University,Public,OK,In-person,oklahomapanhandlestateuniversity,207351,Texas County,-101.638488,36.594518,1375.0,Rural,Baccalaureatte,54.0,1.0,
325,Old Dominion University,Public,VA,In-person,olddominionuniversity,232982,Norfolk city,-76.309653,36.884919,24828.0,City,Research,9.0,1.0,
326,Oral Roberts University,Private,OK,In-person,oralrobertsuniversity,207582,Tulsa County,-95.954215,36.050705,3414.0,City,Master's,,,12590.0
327,Oregon State University,Public,OR,In-person,oregonstateuniversity,209542,Benton County,-123.274721,44.56274000000001,27902.0,City,Research,23.0,3.0,
328,Otterbein University,Private,OH,In-person,otterbeinuniversity,204936,Franklin County,-82.936231,40.12534,2919.0,Suburb,Master's,14.0,0.0,28859.0
329,Ouachita Baptist University,Private,AR,In-person,ouachitabaptistuniversity,107512,Clark County,-93.052442,34.125045,1543.0,Town,Baccalaureatte,35.0,1.0,54781.0
330,Pacific Lutheran University,Private,WA,In-person,pacificlutheranuniversity,236230,Pierce County,-122.445372,47.145494,3462.0,Suburb,Master's,,,22431.0
331,Pacific University,Private,OR,In-person,pacificuniversity,209612,Washington County,-123.108777,45.521394,3583.0,Suburb,Master's,,,17445.0
332,Palm Beach Atlantic University,Private,FL,In-person,palmbeachatlanticuniversity,136330,Palm Beach County,-80.049758,26.704629,3764.0,City,Master's,38.0,3.0,23183.0
333,Pepperdine University,Private,CA,In-person,pepperdineuniversity,121150,Los Angeles County,-118.707677,34.041912,7315.0,Suburb,Research,41.0,5.0,96659.0
334,Pittsburg State University,Public,KS,In-person,pittsburgstateuniversity,155681,Crawford County,-94.704782,37.3913,7400.0,Town,Master's,30.0,0.0,
335,Plymouth State University,Public,MA,In-person,plymouthstateuniversity,183080,Grafton County,-71.691164,43.757386,5236.0,Town,Master's,50.0,2.0,
336,Point Loma Nazarene University,Private,CA,In-person,pointlomanazareneuniversity,121309,San Diego County,-117.251204,32.713295,3359.0,City,Master's,22.0,0.0,12396.0
337,Point Park University,Public,PA,In-person,pointparkuniversity,215442,Allegheny County,-80.001462,40.438526,3841.0,City,Master's,33.0,3.0,8916.0
338,Pomona College,Private,CA,Undecided,pomonacollege,121345,Los Angeles County,-117.711944,34.098298,1610.0,Suburb,Baccalaureatte,56.0,18.0,1146818.0
339,Portland State University,Public,OR,Undecided,portlandstateuniversity,209807,Multnomah County,-122.683553,45.511229,28260.0,City,Research,21.0,9.0,
340,Prairie View A&M University,Public,TX,In-person,prairieviewa&muniversity,227526,Waller County,-95.992066,30.094591,8283.0,Town,Master's,9.0,0.0,
341,Presbyterian College,Private,SC,In-person,presbyteriancollege,218539,Laurens County,-81.874408,34.465697,1433.0,Town,Baccalaureatte,39.0,1.0,59223.0
342,Prescott College,Private,AZ,In-person,prescottcollege,105589,Yavapai County,-112.476509,34.5445,943.0,City,Master's,,,1166.0
343,Princeton University,Private,NJ,Undecided,princetonuniversity,186131,Mercer County,-74.663708,40.348496,8014.0,Suburb,Research,72.0,12.0,2320421.0
344,Providence Christian College,Private,CA,In-person,providencechristiancollege,455770,Los Angeles County,-118.118491,34.17275,66.0,City,Baccalaureatte,,,350.0
345,Queens University of Charlotte,Private,NC,Considering options,queensuniversityofcharlotte,199412,Mecklenburg County,-80.832227,35.18892899999999,2285.0,City,Master's,,,42253.0
346,Quincy University,Private,IL,In-person,quincyuniversity,148131,Adams County,-91.387928,39.939235,1455.0,Town,Master's,33.0,0.0,11632.0
347,Radford University,Public,VA,In-person,radforduniversity,233277,Radford city,-80.54973100000002,37.136914,9928.0,City,Master's,6.0,0.0,
348,Randolph College,Private,VA,In-person,randolphcollege,233301,Lynchburg city,-79.17079,37.437429,682.0,City,Baccalaureatte,,,211002.0
349,Randolph-Macon College,Private,VA,In-person,randolph-maconcollege,233295,Hanover County,-77.47225300000002,37.749654,1315.0,Suburb,Baccalaureatte,22.0,0.0,101394.0
350,Reed College,Private,OR,Undecided,reedcollege,209922,Multnomah County,-122.63064,45.480376,1411.0,City,Baccalaureatte,,,328925.0
351,Regis University,Private,CO,In-person,regisuniversity,127918,Denver County,-105.031385,39.78976,9722.0,City,Master's,41.0,0.0,5991.0
352,Rensselaer Polytechnic Institute,Private,NY,Undecided,rensselaerpolytechnicinstitute,194824,Rensselaer County,-73.678768,42.728983,6714.0,City,Research,61.0,9.0,88229.0
353,Rhodes College,Private,TN,In-person,rhodescollege,221351,Shelby County,-89.989187,35.154424,2040.0,City,Baccalaureatte,,,149425.0
354,Rice University,Private,TX,Hybrid model,riceuniversity,227757,Harris County,-95.403625,29.716485,6628.0,City,Research,38.0,14.0,729227.0
355,Rider University,Private,NJ,Considering options,rideruniversity,186283,Mercer County,-74.742822,40.283122,5410.0,Suburb,Master's,28.0,3.0,11560.0
356,Roanoke College,Private,VA,In-person,roanokecollege,233426,Salem city,-80.056433,37.29686,2029.0,Suburb,Baccalaureatte,50.0,2.0,54414.0
357,Robert Morris University,Private,PA,In-person,robertmorrisuniversity,215655,Allegheny County,-80.21178499999998,40.521088,5481.0,Suburb,Master's,12.0,0.0,5875.0
358,Rochester Institute of Technology,Private,NY,In-person,rochesterinstituteoftechnology,195003,Monroe County,-77.67520999999998,43.090325,16583.0,Suburb,Master's,46.0,5.0,47198.0
359,Rockhurst University,Private,MO,In-person,rockhurstuniversity,179043,Jackson County,-94.571249,39.030843,2920.0,City,Master's,32.0,2.0,15452.0
360,Roger Williams University,Private,RI,In-person,rogerwilliamsuniversity,217518,Bristol County,-71.261836,41.647314,4732.0,Suburb,Master's,87.0,3.0,14636.0
361,Rollins College,Private,FL,In-person,rollinscollege,136950,Orange County,-81.34871600000002,28.591992,3153.0,Suburb,Master's,47.0,0.0,113393.0
362,Roosevelt University,Private,IL,Considering options,rooseveltuniversity,148487,Cook County,-87.62495200000002,41.876055,6130.0,City,Master's,,,16852.0
363,Rosemont College,Private,PA,Considering options,rosemontcollege,215691,Montgomery County,-75.329898,40.034771,957.0,Suburb,Master's,27.0,1.0,16442.0
364,Rowan University,Public,NJ,Considering options,rowanuniversity,184782,Gloucester County,-75.117974,39.709768,13349.0,Suburb,Master's,,,
365,Sacred Heart University,Private,CT,In-person,sacredheartuniversity,130253,Fairfield County,-73.24461,41.221548,6983.0,Suburb,Master's,71.0,1.0,20869.0
366,Saint Francis University,Private,PA,In-person,saintfrancisuniversity,215743,Cambria County,-78.638469,40.502782,2344.0,Town,Master's,,,14432.0
367,Saint Leo University,Private,FL,Undecided,saintleouniversity,137032,Pasco County,-82.257287,28.336776,16275.0,Suburb,Master's,,,2998.0
368,Saint Mary's College,Private,IN,In-person,saintmary'scollege,152390,St. Joseph County,-86.256947,41.707274,1479.0,Suburb,Baccalaureatte,76.0,2.0,87994.0
369,Saint Mary's University of Minnesota,Private,MI,In-person,saintmary'suniversityofminnesota,174817,Winona County,-91.696652,44.045322,5528.0,Town,Research,,,10096.0
370,Saint Norbert College,Private,WI,In-person,saintnorbertcollege,239716,Brown County,-88.067301,44.444651,2222.0,Suburb,Baccalaureatte,,,36623.0
371,Samford University,Private,AL,In-person,samforduniversity,102049,Jefferson County,-86.790932,33.464578,4833.0,Suburb,Master's,,,60561.0
372,Santa Clara University,Private,CA,In-person,santaclarauniversity,122931,Santa Clara County,-121.938189,37.352706,8770.0,City,Master's,36.0,0.0,69357.0
373,Sarah Lawrence College,Private,NY,Considering options,sarahlawrencecollege,195304,Westchester County,-73.84380999999998,40.934147,1782.0,Suburb,Baccalaureatte,,,44780.0
374,Schreiner University,Private,TX,In-person,schreineruniversity,228042,Kerr County,-99.131076,30.03108,1136.0,Town,Baccalaureatte,1.0,0.0,51276.0
375,Scripps College,Private,CA,Undecided,scrippscollege,123165,Los Angeles County,-117.71133600000002,34.103655,1009.0,Suburb,Baccalaureatte,48.0,2.0,289527.0
376,Seattle University,Private,WA,In-person,seattleuniversity,236595,King County,-122.3197,47.610138,7422.0,City,Master's,58.0,4.0,27642.0
